Refactoring Type	Source Method	Target Class
Move Method	org.jkiss.dbeaver.lang.SCMLeafNode::getPlainValue():java.lang.String 	 org.jkiss.dbeaver.lang.SCMCompositeNode
Move Method	org.jkiss.dbeaver.ext.oracle.model.OracleDataSource::getPublicSynonyms(org.jkiss.dbeaver.model.runtime.DBRProgressMonitor):java.util.Collection<org.jkiss.dbeaver.ext.oracle.model.OracleSynonym> 	 org.jkiss.dbeaver.ext.oracle.model.OracleSchema
Move Method	org.jkiss.dbeaver.ext.oracle.model.OracleDataSource::getPublicDatabaseLinks(org.jkiss.dbeaver.model.runtime.DBRProgressMonitor):java.util.Collection<org.jkiss.dbeaver.ext.oracle.model.OracleDBLink> 	 org.jkiss.dbeaver.ext.oracle.model.OracleSchema
Move Method	org.jkiss.dbeaver.ext.oracle.model.OracleDataSource::getUserRecycledObjects(org.jkiss.dbeaver.model.runtime.DBRProgressMonitor):java.util.Collection<org.jkiss.dbeaver.ext.oracle.model.OracleRecycledObject> 	 org.jkiss.dbeaver.ext.oracle.model.OracleSchema
Move Method	org.jkiss.dbeaver.ext.oracle.model.OracleSchema::getTableColumn(org.jkiss.dbeaver.ext.oracle.model.JDBCSession, org.jkiss.dbeaver.ext.oracle.model.OracleTableBase, java.sql.ResultSet, java.lang.String):org.jkiss.dbeaver.ext.oracle.model.OracleTableColumn 	 org.jkiss.dbeaver.ext.oracle.model.OracleTableBase
Move Method	org.jkiss.dbeaver.model.navigator.fs.DBNFileSystems::getFileSystem(java.lang.String, java.lang.String):org.jkiss.dbeaver.model.navigator.fs.DBNFileSystem 	 org.jkiss.dbeaver.model.fs.DBFVirtualFileSystem
Move Method	org.jkiss.dbeaver.model.navigator.fs.DBNFileSystems::equalsFS(org.jkiss.dbeaver.model.fs.DBFVirtualFileSystem, org.jkiss.dbeaver.model.fs.DBFVirtualFileSystem):boolean 	 org.jkiss.dbeaver.model.fs.DBFVirtualFileSystem
Move Method	org.jkiss.dbeaver.model.navigator.DBNDatabaseNode::initializeNode(org.jkiss.dbeaver.model.runtime.DBRProgressMonitor, org.jkiss.dbeaver.model.runtime.DBRProgressListener):boolean 	 org.jkiss.dbeaver.model.runtime.DBRProgressListener
Move Method	org.jkiss.dbeaver.model.navigator.DBNDatabaseNode::equalObjects(org.jkiss.dbeaver.model.struct.DBSObject, org.jkiss.dbeaver.model.struct.DBSObject):boolean 	 org.jkiss.dbeaver.model.DBUtils
Move Method	org.jkiss.dbeaver.model.navigator.DBNDatabaseNode::extractPropertyValue(org.jkiss.dbeaver.model.runtime.DBRProgressMonitor, java.lang.Object, org.jkiss.dbeaver.model.navigator.meta.DBXTreeItem):java.lang.Object 	 org.jkiss.dbeaver.model.navigator.meta.DBXTreeItem
Move Method	org.jkiss.dbeaver.model.navigator.DBNDatabaseNode::extractDynamicPropertyValue(org.jkiss.dbeaver.model.runtime.DBRProgressMonitor, java.lang.Object, java.lang.String):java.lang.Object 	 org.jkiss.dbeaver.model.navigator.meta.DBXTreeItem
Move Method	org.jkiss.dbeaver.model.navigator.DBNNode::getFolderChildrenClass(org.jkiss.dbeaver.model.navigator.meta.DBXTreeFolder):java.lang.Class<? extends org.jkiss.dbeaver.model.struct.DBSObject> 	 org.jkiss.dbeaver.model.navigator.meta.DBXTreeFolder
Move Method	org.jkiss.dbeaver.model.navigator.DBNNode::nodeHasStructureContainers(org.jkiss.dbeaver.model.navigator.DBNNode, org.jkiss.dbeaver.model.navigator.meta.DBXTreeNode):boolean 	 org.jkiss.dbeaver.model.navigator.meta.DBXTreeNode
Move Method	org.jkiss.dbeaver.registry.DataSourceSerializerModern::getValueEncryptor(org.jkiss.dbeaver.model.app.DBPProject):org.jkiss.dbeaver.model.impl.app.DefaultValueEncryptor 	 org.jkiss.dbeaver.model.app.DBPProject
Move Method	org.jkiss.dbeaver.registry.DataSourceSerializerModern::saveConfigFile(org.jkiss.dbeaver.registry.DataSourceConfigurationManager, java.lang.String, java.lang.String, boolean, boolean):void 	 org.jkiss.dbeaver.model.secret.DBSValueEncryptor
Move Method	org.jkiss.dbeaver.registry.DataSourceSerializerModern::parseDriver(java.lang.String, java.lang.String, java.lang.String, boolean):org.jkiss.dbeaver.registry.driver.DriverDescriptor 	 org.jkiss.dbeaver.Log
Move Method	org.jkiss.dbeaver.registry.DataSourceSerializerModern::readObjectFiler(java.util.Map<java.lang.String,java.lang.Object>):org.jkiss.dbeaver.model.struct.DBSObjectFilter 	 org.jkiss.dbeaver.model.data.json.JSONUtils
Move Method	org.jkiss.dbeaver.registry.DataSourceSerializerModern::saveFolder(org.jkiss.dbeaver.registry.JsonWriter, org.jkiss.dbeaver.registry.DataSourceFolder):void 	 org.jkiss.dbeaver.model.data.json.JSONUtils
Move Method	org.jkiss.dbeaver.registry.DataSourceSerializerModern::saveObjectFiler(org.jkiss.dbeaver.registry.JsonWriter, java.lang.String, java.lang.String, org.jkiss.dbeaver.model.struct.DBSObjectFilter):void 	 org.jkiss.dbeaver.model.data.json.JSONUtils
Move Method	org.jkiss.dbeaver.registry.DataSourceSerializerModern::saveSecuredCredentials(org.jkiss.dbeaver.registry.DataSourceDescriptor, org.jkiss.dbeaver.model.connection.DBPConfigurationProfile, java.lang.String, org.jkiss.dbeaver.registry.SecureCredentials):void 	 org.jkiss.dbeaver.model.connection.DBPConfigurationProfile
Move Method	org.jkiss.dbeaver.registry.DataSourceSerializerModern::readSecuredCredentials(org.jkiss.dbeaver.registry.DataSourceDescriptor, org.jkiss.dbeaver.model.connection.DBPConfigurationProfile, java.lang.String):org.jkiss.dbeaver.registry.SecureCredentials 	 org.jkiss.dbeaver.model.connection.DBPConfigurationProfile
Move Method	org.jkiss.dbeaver.registry.DataSourceSerializerModern::getReplacementDriver(org.jkiss.dbeaver.registry.driver.DriverDescriptor):org.jkiss.dbeaver.registry.driver.DriverDescriptor 	 org.jkiss.dbeaver.registry.driver.DriverDescriptor
