Refactoring Type	Source Method	Target Class
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::setDistributionType(org.elasticsearch.gradle.ElasticsearchDistribution, org.elasticsearch.gradle.testclusters.TestDistribution):void 	 org.elasticsearch.gradle.ElasticsearchDistribution
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::cliJvmArgs(java.lang.String[]):void 	 org.elasticsearch.gradle.LazyPropertyList
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::jvmOptionExpansions():java.util.Map<java.lang.String,java.lang.String> 	 org.elasticsearch.gradle.Version
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::getKeystoreSettings():java.util.List<?> 	 org.elasticsearch.gradle.LazyPropertyMap
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::getKeystoreFiles():java.util.List<?> 	 org.elasticsearch.gradle.LazyPropertyMap
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::getCliSetup():java.util.List<?> 	 org.elasticsearch.gradle.LazyPropertyList
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::getSettings():java.util.List<?> 	 org.elasticsearch.gradle.LazyPropertyMap
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::getSettingKeys():java.util.Set<java.lang.String> 	 org.elasticsearch.gradle.LazyPropertyMap
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::getSystemProperties():java.util.List<?> 	 org.elasticsearch.gradle.LazyPropertyMap
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::getEnvironment():java.util.List<?> 	 org.elasticsearch.gradle.LazyPropertyMap
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::getJvmArgs():java.util.List<?> 	 org.elasticsearch.gradle.LazyPropertyList
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::getExtraConfigFiles():java.util.List<?> 	 org.elasticsearch.gradle.LazyPropertyMap
Move Method	org.elasticsearch.gradle.testclusters.ElasticsearchNode::configureHttpWait(org.elasticsearch.gradle.testclusters.WaitForHttpResource):void 	 org.elasticsearch.gradle.LazyPropertyMap
Move Method	org.elasticsearch.action.search.MultiSearchRequest::readMultiLineFormat(org.elasticsearch.action.search.XContent, org.elasticsearch.action.search.XContentParserConfiguration, org.elasticsearch.common.bytes.BytesReference, org.elasticsearch.common.CheckedBiConsumer<org.elasticsearch.action.search.SearchRequest,org.elasticsearch.action.search.XContentParser,java.io.IOException>, java.lang.String[], org.elasticsearch.action.search.IndicesOptions, java.lang.String, java.lang.String, java.lang.Boolean, boolean, org.elasticsearch.common.TriFunction<java.lang.String,java.lang.Object,org.elasticsearch.action.search.SearchRequest,java.lang.Boolean>):void 	 org.elasticsearch.action.search.SearchRequest
Move Method	org.elasticsearch.action.search.MultiSearchRequest::writeSearchRequestParams(org.elasticsearch.action.search.SearchRequest, org.elasticsearch.action.search.XContentBuilder):void 	 org.elasticsearch.action.search.SearchRequest
Move Method	org.elasticsearch.action.search.SearchRequest::hasKnnSearch():boolean 	 org.elasticsearch.search.builder.SearchSourceBuilder
Move Method	org.elasticsearch.action.search.SearchRequest::resolveTrackTotalHitsUpTo(org.elasticsearch.search.Scroll, org.elasticsearch.search.builder.SearchSourceBuilder):int 	 org.elasticsearch.search.builder.SearchSourceBuilder
Move Method	org.elasticsearch.cluster.metadata.DesiredNode::readFrom(org.elasticsearch.common.io.stream.StreamInput):org.elasticsearch.cluster.metadata.DesiredNode 	 org.elasticsearch.common.io.stream.StreamInput
Move Method	org.elasticsearch.cluster.metadata.DesiredNode::parseLegacyVersion(java.lang.String):org.elasticsearch.Version 	 org.elasticsearch.Version
