Refactoring Type	Source Method	Target Class
Move Method	jdk.graal.compiler.truffle.test.nodes.explosion.UnrollingTestNode::countBlackholeNodes(jdk.graal.compiler.nodes.StructuredGraph, java.lang.String):int 	 jdk.graal.compiler.graph.Graph
Move Method	jdk.graal.compiler.core.common.cfg.AbstractControlFlowGraph::dominates(jdk.graal.compiler.core.common.cfg.BasicBlock<?>, jdk.graal.compiler.core.common.cfg.BasicBlock<?>):boolean 	 jdk.graal.compiler.core.common.cfg.BasicBlock
Move Method	jdk.graal.compiler.core.common.cfg.AbstractControlFlowGraph::commonDominator(jdk.graal.compiler.core.common.cfg.BasicBlock<?>, jdk.graal.compiler.core.common.cfg.BasicBlock<?>):jdk.graal.compiler.core.common.cfg.BasicBlock<?> 	 jdk.graal.compiler.core.common.cfg.BasicBlock
Move Method	jdk.graal.compiler.core.common.cfg.AbstractControlFlowGraph::commonDominatorHelper(jdk.graal.compiler.core.common.cfg.BasicBlock<?>, jdk.graal.compiler.core.common.cfg.BasicBlock<?>):jdk.graal.compiler.core.common.cfg.BasicBlock<?> 	 jdk.graal.compiler.core.common.cfg.BasicBlock
Move Method	jdk.graal.compiler.graph.Node::inputs():jdk.graal.compiler.graph.iterators.NodeIterable<jdk.graal.compiler.graph.Node> 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::inputPositions():java.lang.Iterable<jdk.graal.compiler.graph.Position> 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::successors():jdk.graal.compiler.graph.iterators.NodeIterable<jdk.graal.compiler.graph.Node> 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::successorPositions():java.lang.Iterable<jdk.graal.compiler.graph.Position> 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::modCount():int 	 jdk.graal.compiler.graph.Graph
Move Method	jdk.graal.compiler.graph.Node::incModCount():void 	 jdk.graal.compiler.graph.Graph
Move Method	jdk.graal.compiler.graph.Node::usageModCount():int 	 jdk.graal.compiler.graph.Graph
Move Method	jdk.graal.compiler.graph.Node::incUsageModCount():void 	 jdk.graal.compiler.graph.Graph
Move Method	jdk.graal.compiler.graph.Node::initialize(jdk.graal.compiler.graph.Graph):void 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::isAllowedUsageType(jdk.graal.compiler.nodeinfo.InputType):boolean 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::replaceAtUsagePos(jdk.graal.compiler.graph.Node, jdk.graal.compiler.graph.Node, jdk.graal.compiler.graph.Position):void 	 jdk.graal.compiler.graph.Position
Move Method	jdk.graal.compiler.graph.Node::maybeNotifyInputChanged(jdk.graal.compiler.graph.Node):void 	 jdk.graal.compiler.graph.Graph.NodeEventListener
Move Method	jdk.graal.compiler.graph.Node::maybeNotifyZeroUsages(jdk.graal.compiler.graph.Node):void 	 jdk.graal.compiler.graph.Graph
Move Method	jdk.graal.compiler.graph.Node::replaceAllInputs(jdk.graal.compiler.graph.Node, jdk.graal.compiler.graph.Node):void 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::clearInputs():void 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::copyOrClearEdgesForClone(jdk.graal.compiler.graph.Node, jdk.graal.compiler.graph.Edges.Type, java.util.EnumSet<jdk.graal.compiler.graph.Edges.Type>):void 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::verifyInputs():boolean 	 jdk.graal.compiler.graph.InputEdges
Move Method	jdk.graal.compiler.graph.Node::valueEquals(jdk.graal.compiler.graph.Node):boolean 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::dataFlowEquals(jdk.graal.compiler.graph.Node):boolean 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::dynamicNodeSizeEstimate():jdk.graal.compiler.nodeinfo.NodeSize 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.graph.Node::estimatedNodeCycles():jdk.graal.compiler.nodeinfo.NodeCycles 	 jdk.graal.compiler.graph.NodeClass
Move Method	jdk.graal.compiler.hightiercodegen.reconstruction.stackifier.blocks.LabeledBlockGeneration::isJumpingToAfterElseBranch(jdk.graal.compiler.nodes.cfg.HIRBlock, jdk.graal.compiler.nodes.cfg.HIRBlock, jdk.graal.compiler.hightiercodegen.reconstruction.StackifierData):boolean 	 jdk.graal.compiler.hightiercodegen.reconstruction.stackifier.scopes.Scope
Move Method	jdk.graal.compiler.hightiercodegen.reconstruction.stackifier.blocks.LabeledBlockGeneration::isLastBlockInThenBranch(jdk.graal.compiler.nodes.cfg.HIRBlock, jdk.graal.compiler.hightiercodegen.reconstruction.StackifierData):boolean 	 jdk.graal.compiler.hightiercodegen.reconstruction.StackifierData
Move Method	jdk.graal.compiler.hightiercodegen.reconstruction.stackifier.blocks.LabeledBlockGeneration::isLastBlockInSwitchArm(jdk.graal.compiler.nodes.cfg.HIRBlock, jdk.graal.compiler.hightiercodegen.reconstruction.StackifierData):boolean 	 jdk.graal.compiler.hightiercodegen.reconstruction.StackifierData
Move Method	jdk.graal.compiler.hightiercodegen.reconstruction.stackifier.blocks.LabeledBlockGeneration::isJumpingOverCatchBlock(jdk.graal.compiler.nodes.cfg.HIRBlock, jdk.graal.compiler.nodes.cfg.HIRBlock, jdk.graal.compiler.hightiercodegen.reconstruction.StackifierData):boolean 	 jdk.graal.compiler.debug.Assertions
Move Method	jdk.graal.compiler.hightiercodegen.reconstruction.stackifier.blocks.LabeledBlockGeneration::isNormalLoopExit(jdk.graal.compiler.nodes.cfg.HIRBlock, jdk.graal.compiler.nodes.cfg.HIRBlock, jdk.graal.compiler.hightiercodegen.reconstruction.StackifierData):boolean 	 jdk.graal.compiler.nodes.cfg.HIRBlock
Move Method	jdk.graal.compiler.hightiercodegen.reconstruction.stackifier.blocks.LabeledBlockGeneration::getSortedSetByLabeledBlockEnd():java.util.SortedSet<jdk.graal.compiler.hightiercodegen.reconstruction.stackifier.blocks.LabeledBlock> 	 jdk.graal.compiler.core.common.cfg.BasicBlock
Move Method	jdk.graal.compiler.hightiercodegen.reconstruction.stackifier.blocks.LabeledBlockGeneration::commonDominatorFor(jdk.graal.compiler.nodes.cfg.HIRBlock, boolean):jdk.graal.compiler.nodes.cfg.HIRBlock 	 jdk.graal.compiler.core.common.cfg.BasicBlock
Move Method	jdk.graal.compiler.hightiercodegen.reconstruction.stackifier.blocks.LabeledBlockGeneration::generateLabeledBlocks():void 	 jdk.graal.compiler.hightiercodegen.reconstruction.StackifierData
Move Method	jdk.graal.compiler.hotspot.nodes.HotSpotCompressionNode::compress(jdk.graal.compiler.nodes.ValueNode, jdk.graal.compiler.core.common.CompressEncoding):jdk.graal.compiler.hotspot.nodes.HotSpotCompressionNode 	 jdk.graal.compiler.nodes.CompressionNode.CompressionOp
Move Method	jdk.graal.compiler.hotspot.nodes.HotSpotCompressionNode::uncompress(jdk.graal.compiler.nodes.ValueNode, jdk.graal.compiler.core.common.CompressEncoding):jdk.graal.compiler.nodes.CompressionNode 	 jdk.graal.compiler.nodes.CompressionNode.CompressionOp
Move Method	jdk.graal.compiler.hotspot.replacements.CallSiteTargetNode::tryFold(jdk.graal.compiler.nodes.ValueNode, jdk.graal.compiler.hotspot.replacements.MetaAccessProvider, jdk.graal.compiler.hotspot.replacements.Assumptions):jdk.graal.compiler.nodes.ConstantNode 	 jdk.graal.compiler.nodes.ConstantNode
Move Method	jdk.graal.compiler.hotspot.replacements.ClassGetHubNode::intrinsify(jdk.graal.compiler.nodes.graphbuilderconf.GraphBuilderContext, jdk.graal.compiler.nodes.ValueNode):boolean 	 jdk.graal.compiler.nodes.spi.CoreProviders
Move Method	jdk.graal.compiler.hotspot.replacements.ClassGetHubNode::canonical(jdk.graal.compiler.hotspot.replacements.ClassGetHubNode, jdk.graal.compiler.hotspot.replacements.MetaAccessProvider, jdk.graal.compiler.hotspot.replacements.ConstantReflectionProvider, boolean, jdk.graal.compiler.core.common.type.Stamp, jdk.graal.compiler.nodes.ValueNode):jdk.graal.compiler.nodes.ValueNode 	 jdk.graal.compiler.hotspot.nodes.type.KlassPointerStamp
Move Method	jdk.graal.compiler.hotspot.replacements.ClassGetHubNode::piCastNonNull(jdk.graal.compiler.hotspot.word.KlassPointer, jdk.graal.compiler.nodes.extended.GuardingNode):jdk.graal.compiler.hotspot.word.KlassPointer 	 jdk.graal.compiler.nodes.PiNode.IntrinsifyOp
Move Method	jdk.graal.compiler.hotspot.replacements.KlassLayoutHelperNode::intrinsify(jdk.graal.compiler.nodes.graphbuilderconf.GraphBuilderContext, jdk.graal.compiler.hotspot.GraalHotSpotVMConfig, jdk.graal.compiler.nodes.ValueNode):boolean 	 jdk.graal.compiler.nodes.spi.CoreProviders
Move Method	jdk.graal.compiler.hotspot.replacements.KlassLayoutHelperNode::canonical(jdk.graal.compiler.hotspot.replacements.KlassLayoutHelperNode, jdk.graal.compiler.nodes.ValueNode, jdk.graal.compiler.hotspot.replacements.ConstantReflectionProvider, int):jdk.graal.compiler.nodes.ValueNode 	 jdk.graal.compiler.nodes.ConstantNode
Move Method	jdk.graal.compiler.lir.amd64.AMD64Move::reg2reg(jdk.graal.compiler.lir.amd64.AMD64Kind, jdk.graal.compiler.asm.amd64.AMD64MacroAssembler, jdk.graal.compiler.lir.amd64.Value, jdk.graal.compiler.lir.amd64.Value):void 	 jdk.graal.compiler.debug.GraalError
Move Method	jdk.graal.compiler.lir.amd64.AMD64Move::reg2stack(jdk.graal.compiler.lir.amd64.AMD64Kind, jdk.graal.compiler.lir.asm.CompilationResultBuilder, jdk.graal.compiler.asm.amd64.AMD64MacroAssembler, jdk.graal.compiler.lir.amd64.Value, jdk.graal.compiler.lir.amd64.Register):void 	 jdk.graal.compiler.debug.GraalError
