Refactoring Type	Source Method	Target Class
Move Method	org.apache.kafka.clients.consumer.internals.SubscriptionState::assignedState(org.apache.kafka.common.TopicPartition):org.apache.kafka.clients.consumer.internals.SubscriptionState.TopicPartitionState 	 org.apache.kafka.common.internals.PartitionStates
Move Method	org.apache.kafka.clients.consumer.internals.SubscriptionState::assignedStateOrNull(org.apache.kafka.common.TopicPartition):org.apache.kafka.clients.consumer.internals.SubscriptionState.TopicPartitionState 	 org.apache.kafka.common.internals.PartitionStates
Move Method	org.apache.kafka.clients.consumer.internals.SubscriptionState::collectPartitions(java.util.function.Predicate<org.apache.kafka.clients.consumer.internals.SubscriptionState.TopicPartitionState>):java.util.Set<org.apache.kafka.common.TopicPartition> 	 org.apache.kafka.common.internals.PartitionStates
Move Method	org.apache.kafka.clients.consumer.internals.SubscriptionState.TopicPartitionState::validatePosition(org.apache.kafka.clients.consumer.internals.SubscriptionState.FetchPosition):void 	 org.apache.kafka.clients.consumer.internals.SubscriptionState.FetchPosition
Move Method	org.apache.kafka.connect.runtime.Worker::initConfigTransformer():org.apache.kafka.connect.runtime.WorkerConfigTransformer 	 org.apache.kafka.connect.runtime.isolation.Plugins
Move Method	org.apache.kafka.connect.runtime.Worker::isSinkConnector(java.lang.String):boolean 	 org.apache.kafka.connect.runtime.isolation.Plugins
Move Method	org.apache.kafka.connect.runtime.Worker::awaitStopConnectors(java.util.Collection<java.lang.String>):void 	 org.apache.kafka.common.utils.Time
Move Method	org.apache.kafka.connect.runtime.Worker::isRunning(java.lang.String):boolean 	 org.apache.kafka.connect.runtime.WorkerConnector
Move Method	org.apache.kafka.connect.runtime.Worker::exactlyOnceSourceTaskProducerConfigs(org.apache.kafka.connect.util.ConnectorTaskId, org.apache.kafka.connect.runtime.WorkerConfig, org.apache.kafka.connect.runtime.ConnectorConfig, java.lang.Class<? extends org.apache.kafka.connect.runtime.Connector>, org.apache.kafka.connect.runtime.ConnectorClientConfigOverridePolicy, java.lang.String):java.util.Map<java.lang.String,java.lang.Object> 	 org.apache.kafka.connect.util.ConnectorTaskId
Move Method	org.apache.kafka.connect.runtime.Worker::baseProducerConfigs(java.lang.String, java.lang.String, org.apache.kafka.connect.runtime.WorkerConfig, org.apache.kafka.connect.runtime.ConnectorConfig, java.lang.Class<? extends org.apache.kafka.connect.runtime.Connector>, org.apache.kafka.connect.runtime.ConnectorClientConfigOverridePolicy, java.lang.String):java.util.Map<java.lang.String,java.lang.Object> 	 org.apache.kafka.common.config.AbstractConfig
Move Method	org.apache.kafka.connect.runtime.Worker::exactlyOnceSourceOffsetsConsumerConfigs(java.lang.String, java.lang.String, org.apache.kafka.connect.runtime.WorkerConfig, org.apache.kafka.connect.runtime.ConnectorConfig, java.lang.Class<? extends org.apache.kafka.connect.runtime.Connector>, org.apache.kafka.connect.runtime.ConnectorClientConfigOverridePolicy, java.lang.String):java.util.Map<java.lang.String,java.lang.Object> 	 org.apache.kafka.connect.util.ConnectUtils
Move Method	org.apache.kafka.connect.runtime.Worker::baseConsumerConfigs(java.lang.String, java.lang.String, org.apache.kafka.connect.runtime.WorkerConfig, org.apache.kafka.connect.runtime.ConnectorConfig, java.lang.Class<? extends org.apache.kafka.connect.runtime.Connector>, org.apache.kafka.connect.runtime.ConnectorClientConfigOverridePolicy, java.lang.String, org.apache.kafka.connect.runtime.ConnectorType):java.util.Map<java.lang.String,java.lang.Object> 	 org.apache.kafka.common.config.AbstractConfig
Move Method	org.apache.kafka.connect.runtime.Worker::adminConfigs(java.lang.String, java.lang.String, org.apache.kafka.connect.runtime.WorkerConfig, org.apache.kafka.connect.runtime.ConnectorConfig, java.lang.Class<? extends org.apache.kafka.connect.runtime.Connector>, org.apache.kafka.connect.runtime.ConnectorClientConfigOverridePolicy, java.lang.String, org.apache.kafka.connect.runtime.ConnectorType):java.util.Map<java.lang.String,java.lang.Object> 	 org.apache.kafka.common.config.AbstractConfig
Move Method	org.apache.kafka.connect.runtime.Worker::connectorClientConfigOverrides(java.lang.String, org.apache.kafka.connect.runtime.ConnectorConfig, java.lang.Class<? extends org.apache.kafka.connect.runtime.Connector>, java.lang.String, org.apache.kafka.connect.runtime.ConnectorType, ConnectorClientConfigRequest.ClientType, org.apache.kafka.connect.runtime.ConnectorClientConfigOverridePolicy):java.util.Map<java.lang.String,java.lang.Object> 	 org.apache.kafka.common.config.AbstractConfig
Move Method	org.apache.kafka.connect.runtime.Worker::taskTransactionalId(org.apache.kafka.connect.util.ConnectorTaskId):java.lang.String 	 org.apache.kafka.connect.runtime.WorkerConfig
Move Method	org.apache.kafka.connect.runtime.Worker::sinkTaskReporters(org.apache.kafka.connect.util.ConnectorTaskId, org.apache.kafka.connect.runtime.SinkConnectorConfig, org.apache.kafka.connect.runtime.errors.ErrorHandlingMetrics, java.lang.Class<? extends org.apache.kafka.connect.runtime.Connector>):java.util.List<org.apache.kafka.connect.runtime.errors.ErrorReporter> 	 org.apache.kafka.connect.runtime.SinkConnectorConfig
Move Method	org.apache.kafka.connect.runtime.Worker::createWorkerErrantRecordReporter(org.apache.kafka.connect.runtime.SinkConnectorConfig, org.apache.kafka.connect.runtime.errors.RetryWithToleranceOperator, org.apache.kafka.connect.runtime.Converter, org.apache.kafka.connect.runtime.Converter, org.apache.kafka.connect.runtime.HeaderConverter):org.apache.kafka.connect.runtime.errors.WorkerErrantRecordReporter 	 org.apache.kafka.connect.runtime.SinkConnectorConfig
Move Method	org.apache.kafka.connect.runtime.Worker::awaitStopTasks(java.util.Collection<org.apache.kafka.connect.util.ConnectorTaskId>):void 	 org.apache.kafka.common.utils.Time
Move Method	org.apache.kafka.connect.runtime.Worker::isTopicCreationEnabled():boolean 	 org.apache.kafka.connect.runtime.WorkerConfig
Move Method	org.apache.kafka.connect.runtime.Worker::sourceConnectorOffsets(java.lang.String, org.apache.kafka.connect.runtime.Connector, java.util.Map<java.lang.String,java.lang.String>, org.apache.kafka.connect.util.Callback<org.apache.kafka.connect.runtime.rest.entities.ConnectorOffsets>):void 	 org.apache.kafka.connect.runtime.WorkerConfig
Move Method	org.apache.kafka.connect.runtime.Worker::completeModifyOffsetsCallback(boolean, boolean, org.apache.kafka.connect.util.Callback<org.apache.kafka.connect.runtime.rest.entities.Message>):void 	 org.apache.kafka.connect.util.Callback
