Refactoring Type	Source Method	Target Class
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::getBuildCache(org.springframework.boot.buildpack.platform.build.BuildRequest):org.springframework.boot.buildpack.platform.build.Cache 	 org.springframework.boot.buildpack.platform.build.BuildRequest
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::getLaunchCache(org.springframework.boot.buildpack.platform.build.BuildRequest):org.springframework.boot.buildpack.platform.build.Cache 	 org.springframework.boot.buildpack.platform.build.BuildRequest
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::getApplicationDirectory(org.springframework.boot.buildpack.platform.build.BuildRequest):java.lang.String 	 org.springframework.boot.buildpack.platform.build.BuildRequest
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::getPlatformVersion(org.springframework.boot.buildpack.platform.build.BuilderMetadata.Lifecycle):org.springframework.boot.buildpack.platform.build.ApiVersion 	 org.springframework.boot.buildpack.platform.build.BuilderMetadata.Lifecycle
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::createPhase():org.springframework.boot.buildpack.platform.build.Phase 	 org.springframework.boot.buildpack.platform.build.BuildRequest
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::withSkipRestore(org.springframework.boot.buildpack.platform.build.Phase):void 	 org.springframework.boot.buildpack.platform.build.Phase
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::getLayersBindingSource(org.springframework.boot.buildpack.platform.build.BuildRequest):org.springframework.boot.buildpack.platform.build.Cache 	 org.springframework.boot.buildpack.platform.build.BuildRequest
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::getBuildWorkspaceBindingSource(org.springframework.boot.buildpack.platform.build.Cache, java.lang.String):org.springframework.boot.buildpack.platform.build.Cache 	 org.springframework.boot.buildpack.platform.build.Cache
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::getCacheBindingSource(org.springframework.boot.buildpack.platform.build.Cache):java.lang.String 	 org.springframework.boot.buildpack.platform.build.Cache
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::createVolumeCache(java.lang.String):org.springframework.boot.buildpack.platform.build.Cache 	 org.springframework.boot.buildpack.platform.build.Cache
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::createVolumeCache(org.springframework.boot.buildpack.platform.build.BuildRequest, java.lang.String):org.springframework.boot.buildpack.platform.build.Cache 	 org.springframework.boot.buildpack.platform.build.BuildRequest
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::configureDaemonAccess(org.springframework.boot.buildpack.platform.build.Phase):void 	 org.springframework.boot.buildpack.platform.docker.configuration.ResolvedDockerHost
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::isVerboseLogging():boolean 	 org.springframework.boot.buildpack.platform.build.LifecycleVersion
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::requiresProcessTypeDefault():boolean 	 org.springframework.boot.buildpack.platform.build.ApiVersion
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::run(org.springframework.boot.buildpack.platform.build.Phase):void 	 org.springframework.boot.buildpack.platform.build.EphemeralBuilder
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::createContainer(org.springframework.boot.buildpack.platform.docker.type.ContainerConfig):org.springframework.boot.buildpack.platform.docker.type.ContainerReference 	 org.springframework.boot.buildpack.platform.build.EphemeralBuilder
Move Method	org.springframework.boot.buildpack.platform.build.Lifecycle::deleteVolume(org.springframework.boot.buildpack.platform.docker.type.VolumeName):void 	 org.springframework.boot.buildpack.platform.docker.DockerApi
Move Method	org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor::getElementsAnnotatedOrMetaAnnotatedWith(javax.annotation.processing.RoundEnvironment, javax.lang.model.element.TypeElement):java.util.Map<javax.lang.model.element.Element,java.util.List<javax.lang.model.element.Element>> 	 org.springframework.boot.configurationprocessor.MetadataGenerationEnvironment
Move Method	org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor::processAnnotatedTypeElement(java.lang.String, javax.lang.model.element.TypeElement, java.util.Deque<javax.lang.model.element.TypeElement>):void 	 org.springframework.boot.configurationprocessor.MetadataGenerationEnvironment
Move Method	org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor::processEndpoint(javax.lang.model.element.Element, java.util.List<javax.lang.model.element.Element>):void 	 org.springframework.boot.configurationprocessor.MetadataGenerationEnvironment
Move Method	org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor::hasMainReadOperation(javax.lang.model.element.TypeElement):boolean 	 org.springframework.boot.configurationprocessor.MetadataGenerationEnvironment
Move Method	org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor::hasNoOrOptionalParameters(javax.lang.model.element.ExecutableElement):boolean 	 org.springframework.boot.configurationprocessor.MetadataGenerationEnvironment
Move Method	org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor::getPrefix(javax.lang.model.element.AnnotationMirror):java.lang.String 	 org.springframework.boot.configurationprocessor.MetadataGenerationEnvironment
Move Method	org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor::writeMetadata():org.springframework.boot.configurationprocessor.metadata.ConfigurationMetadata 	 org.springframework.boot.configurationprocessor.metadata.ConfigurationMetadata
