took 26000 seconds.
Refactoring Type	Source Method	Target Class	Similarity Indice
Move Method	com.oracle.svm.core.jdk.resources.NativeImageResourceFileSystem::removeTempPathForEntry(Path):void	com.oracle.svm.core.jdk.resources.NativeImageResourceFileSystemProvider	0.5192743764172335
Move Method	com.oracle.svm.core.jdk.Target_java_lang_StackWalker::forEach(Consumer<? super StackFrame>):void	com.oracle.svm.core.thread.Target_jdk_internal_vm_Continuation	0.38100415840104923
Move Method	com.oracle.svm.core.jdk.resources.NativeImageResourceFileSystem::createTempFileInSameDirectoryAs():Path	com.oracle.svm.core.jdk.resources.NativeImageResourceFileSystemProvider	0.5192743764172335
Move Method	com.oracle.svm.core.jfr.JfrRecorderThread::persistBuffers(JfrChunkWriter):void	com.oracle.svm.core.jfr.JfrGlobalMemory	1.0
Move Method	com.oracle.svm.core.graal.code.SubstrateBackend::isRuntimeToRuntimeCall(LIRFrameState):boolean	com.oracle.svm.core.graal.meta.RuntimeConfiguration	0.46957671957671954
Move Method	com.oracle.svm.core.heap.dump.HeapDumpWriter::writeFieldData(Object, FieldInfo):void	com.oracle.svm.core.heap.dump.HeapDumpMetadata	0.2653209109730849
Move Method	com.oracle.svm.core.thread.VMThreads::findIsolateThreadForCurrentOSThread(boolean):IsolateThread	com.oracle.svm.core.locks.VMMutex	0.8337231968810916
Move Method	com.oracle.svm.core.jfr.SubstrateJVM::isEnabled(JfrEvent):boolean	com.oracle.svm.core.jfr.JfrEvent	1.0
Move Method	com.oracle.svm.core.graal.code.SubstrateBackend::setRuntimeToRuntimeInvokeMethod(Method):void	com.oracle.svm.core.graal.meta.RuntimeConfiguration	0.5678571428571428
Move Method	com.oracle.svm.core.thread.VMOperationControl.WorkQueues::waitForWorkAndExecute():void	com.oracle.svm.core.locks.VMMutex	1.0
Move Method	com.oracle.svm.core.jfr.JfrChunkFileWriter::traverseThreadLocalBuffers(JfrBufferList, boolean):void	com.oracle.svm.core.jfr.JfrGlobalMemory	1.0
Move Method	com.oracle.svm.core.jdk.Target_java_lang_StackWalker.AbstractStackFrameSpliterator::queryFrameInfo(CodeInfo, CodePointer):FrameInfoQueryResult	com.oracle.svm.core.code.FrameInfoQueryResult	0.5220238095238096
Move Method	com.oracle.svm.core.thread.VMThreads::detachThread(IsolateThread, boolean):void	com.oracle.svm.core.locks.VMMutex	0.7736013986013984
Move Method	com.oracle.svm.core.code.CodeInfoDecoder.FrameInfoCursor::initialize(CodeInfo, CodePointer, boolean):void	com.oracle.svm.core.code.ReusableTypeReader	0.5745341614906833
Move Method	com.oracle.svm.core.heap.dump.HeapDumpWriter::dumpHeap(RawFileDescriptor):boolean	com.oracle.svm.core.heap.NoAllocationVerifier	1.0
Move Method	com.oracle.svm.core.feature.InternalFeature::registerLowerings(RuntimeConfiguration, OptionValues, Providers, Map<Class<? extends Node>,NodeLoweringProvider<?>>, boolean):void	com.oracle.svm.core.graal.meta.RuntimeConfiguration	0.24136752136752138
Move Method	com.oracle.svm.core.SubstrateDiagnostics.ImageCodeLocationInfoPrinter::printLocationInfo(Log, UnsignedWord):boolean	com.oracle.svm.core.log.Log	0.6447270441593752
Move Method	com.oracle.svm.core.jdk.resources.NativeImageResourceFileSystem::iteratorOf(NativeImageResourcePath, DirectoryStream.Filter<? super Path>):Iterator<Path>	com.oracle.svm.core.jdk.resources.NativeImageResourceFileSystemProvider	1.0
