Refactoring Type	Source Method	Target Class	Similarity Indice
Move Method	org.apache.kafka.streams.kstream.internals.KStreamWindowAggregateTest::setMaterializedCache(Materialized<K,V,S>):Materialized<K,V,S>	org.apache.kafka.streams.kstream.Materialized	0.4566511387163562
Move Method	org.apache.kafka.streams.kstream.internals.InternalStreamsBuilderTest::verifyVersionedSemantics(ForeignTableJoinNode<?,?>, boolean):void	org.apache.kafka.streams.kstream.internals.graph.ForeignTableJoinNode	1.0
Move Method	org.apache.kafka.streams.integration.MetricsIntegrationTest::shouldAddMetricsForWindowStoreAndSuppressionBuffer():void	org.apache.kafka.streams.StreamsBuilder	0.30410615007630337
Move Method	org.apache.kafka.streams.processor.internals.InternalTopologyBuilder::describeSubtopology(TopologyDescription, Integer, Set<String>):void	org.apache.kafka.streams.processor.internals.namedtopology.NamedTopology	1.0
Move Method	org.apache.kafka.streams.KafkaStreams::store(StoreQueryParameters<T>):T	org.apache.kafka.streams.state.internals.QueryableStoreProvider	1.0
Move Method	org.apache.kafka.streams.processor.internals.assignment.StickyTaskAssignorTest::assign(AssignmentConfigs, RackAwareTaskAssignor, TaskId[]):boolean	org.apache.kafka.streams.processor.internals.assignment.RackAwareTaskAssignor	0.4364646464646465
Move Method	org.apache.kafka.streams.integration.IQv2StoreIntegrationTest::setUpSessionPAPITopology(SessionBytesStoreSupplier, StreamsBuilder):void	org.apache.kafka.streams.StreamsBuilder	0.780086456164954
Move Method	org.apache.kafka.streams.state.internals.WindowStoreFetchTest::getStoreConfig(StoreType, String, boolean, boolean):Materialized<String,Long,WindowStore<Bytes,byte[]>>	org.apache.kafka.streams.kstream.TimeWindowedKStream	0.32964926905324266
Move Method	org.apache.kafka.streams.integration.RestoreIntegrationTest::startKafkaStreams(StreamsBuilder, StateRestoreListener, Map<String,Object>):KafkaStreams	org.apache.kafka.streams.StreamsBuilder	0.45722921859285476
Move Method	org.apache.kafka.streams.kstream.internals.AbstractKStreamTimeWindowAggregateProcessor::shouldEmitFinal(long):boolean	org.apache.kafka.streams.kstream.EmitStrategy	1.0
Move Method	org.apache.kafka.streams.kstream.internals.TimeWindowedKStreamImplTest::setMaterializedCache(Materialized<K,V,S>):Materialized<K,V,S>	org.apache.kafka.streams.kstream.Materialized	0.4566511387163562
Move Method	org.apache.kafka.streams.processor.internals.StreamTaskTest::verifyCloseTaskMetric(double, StreamsMetricsImpl, MetricName):void	org.apache.kafka.streams.processor.internals.metrics.StreamsMetricsImpl	0.6197935797079631
Move Method	org.apache.kafka.streams.state.internals.QueryableStoreProvider::getStore(StoreQueryParameters<T>):T	org.apache.kafka.streams.StoreQueryParameters	0.6818181818181818
Move Method	org.apache.kafka.streams.processor.internals.TaskManagerTest::expectLockFailedFor(TaskId[]):void	org.apache.kafka.streams.processor.TaskId	0.8355449803239682
Move Method	org.apache.kafka.streams.TopologyTest::mockStoreBuilder():void	org.apache.kafka.streams.state.StoreBuilder	0.6347197106690777
Move Method	org.apache.kafka.streams.KafkaStreams::queryMetadataForKey(String, K, Serializer<K>):KeyQueryMetadata	org.apache.kafka.streams.processor.internals.StreamsMetadataState	0.6340193140193141
Move Method	org.apache.kafka.streams.processor.internals.TaskManager::convertActiveToStandby(StreamTask, Set<TopicPartition>):StandbyTask	org.apache.kafka.streams.processor.internals.StandbyTaskCreator	0.9176373626373625
Move Method	org.apache.kafka.streams.processor.internals.StreamsPartitionAssignor::computeEndOffsetSumsByTask(Map<TopicPartition,ListOffsetsResultInfo>, Map<TopicPartition,Long>, ChangelogTopics):Map<TaskId,Long>	org.apache.kafka.streams.processor.internals.ChangelogTopics	1.0
Move Method	org.apache.kafka.streams.processor.internals.StreamTask::schedule(long, long, PunctuationType, Punctuator):Cancellable	org.apache.kafka.streams.processor.internals.PunctuationQueue	1.0
Move Method	org.apache.kafka.streams.processor.internals.TaskManagerTest::expectDirectoryNotEmpty(TaskId[]):void	org.apache.kafka.streams.processor.TaskId	0.8926749271137027
Move Method	org.apache.kafka.streams.processor.internals.TaskManagerTest::writeCheckpointFile(TaskId, Map<TopicPartition,Long>):void	org.apache.kafka.streams.processor.internals.StateDirectory	0.7235629023361909
Move Method	org.apache.kafka.streams.integration.PositionRestartIntegrationTest::setUpWindowDSLTopology(WindowBytesStoreSupplier, StreamsBuilder):void	org.apache.kafka.streams.StreamsBuilder	0.6276356714098097
Move Method	org.apache.kafka.streams.integration.KTableKTableForeignKeyJoinDistributedTest::configureBuilder(StreamsBuilder):void	org.apache.kafka.streams.StreamsBuilder	0.6505785967037522
Move Method	org.apache.kafka.streams.integration.MetricsIntegrationTest::shouldAddMetricsOnAllLevels():void	org.apache.kafka.streams.StreamsBuilder	0.46650796904763625
Move Method	org.apache.kafka.streams.state.internals.WindowStoreFetchTest::testStoreConfig():void	org.apache.kafka.streams.kstream.TimeWindowedKStream	0.22824790426964342
Move Method	org.apache.kafka.streams.integration.IQv2StoreIntegrationTest::setUpWindowDSLTopology(WindowBytesStoreSupplier, StreamsBuilder):void	org.apache.kafka.streams.StreamsBuilder	0.6276356714098097
Move Method	org.apache.kafka.streams.state.internals.StreamThreadStateStoreProviderTest::createStreamsTask(StreamsConfig, MockClientSupplier, ProcessorTopology, TaskId):StreamTask	org.apache.kafka.streams.processor.internals.StreamTask	0.46786172080503063
Move Method	org.apache.kafka.streams.processor.internals.TaskManager::tryToLockAllNonEmptyTaskDirectories():void	org.apache.kafka.streams.processor.internals.StateDirectory	1.0
Move Method	org.apache.kafka.streams.state.internals.TimeOrderedCachingPersistentWindowStoreTest::verifyKeyValue(KeyValue<Long,byte[]>, long, String):void	org.apache.kafka.streams.KeyValue	0.6285714285714286
Move Method	org.apache.kafka.streams.integration.MetricsReporterIntegrationTest::shouldBeAbleToProvideInitialMetricValueToMetricsReporter():void	org.apache.kafka.streams.StreamsBuilder	0.5771913840764108
Move Method	org.apache.kafka.streams.processor.internals.TaskManagerTest::expectLockObtainedFor(TaskId[]):void	org.apache.kafka.streams.processor.TaskId	0.8355449803239682
Move Method	org.apache.kafka.streams.integration.TaskMetadataIntegrationTest::getTaskMetadata(KafkaStreams):TaskMetadata	org.apache.kafka.streams.KafkaStreams	0.5605540949923095
Move Method	org.apache.kafka.streams.processor.internals.StandbyTaskTest::createConfig(File):StreamsConfig	org.apache.kafka.streams.StreamsConfig	0.4184393953624722
Move Method	org.apache.kafka.streams.TopologyTestDriverWrapper::setCurrentNodeForProcessorContext(String):ProcessorContext<K,V>	org.apache.kafka.streams.processor.internals.StreamTask	0.7574412975801463
Move Method	org.apache.kafka.streams.processor.internals.StreamThreadTest::activeTask(TaskManager, TopicPartition):StreamTask	org.apache.kafka.streams.processor.internals.TaskManager	1.0
Move Method	org.apache.kafka.streams.kstream.internals.AbstractKStreamTimeWindowAggregateProcessor::logSkippedRecordForExpiredWindow(Logger, long, long, String):void	org.apache.kafka.streams.kstream.internals.TimestampedTupleForwarder	0.17824074074074073
Move Method	org.apache.kafka.streams.state.internals.ChangeLoggingKeyValueBytesStoreTest::streamsConfigMock():StreamsConfig	org.apache.kafka.test.InternalMockProcessorContext	0.10006579571796963
Move Method	org.apache.kafka.streams.processor.internals.StreamThreadTotalBlockedTimeTest::shouldComputeTotalBlockedTime():void	org.apache.kafka.streams.processor.internals.StreamThreadTotalBlockedTime	0.12962962962962962
Move Method	org.apache.kafka.streams.integration.IQv2StoreIntegrationTest::makeAssertions(Set<Integer>, StateQueryResult<R>, Consumer<QueryResult<R>>):void	org.apache.kafka.streams.query.StateQueryResult	1.0
Move Method	org.apache.kafka.streams.processor.internals.RecordCollectorTest::getExceptionalStreamsProducerOnSend(Exception):StreamsProducer	org.apache.kafka.streams.processor.internals.StreamsProducer	0.9634006344532663
Move Method	org.apache.kafka.streams.processor.internals.assignment.StickyTaskAssignor::optimizeActive():void	org.apache.kafka.streams.processor.internals.assignment.RackAwareTaskAssignor	0.5123953823953823
Move Method	org.apache.kafka.streams.integration.IQv2StoreIntegrationTest::setUpWindowPAPITopology(WindowBytesStoreSupplier, StreamsBuilder):void	org.apache.kafka.streams.StreamsBuilder	0.780086456164954
Move Method	org.apache.kafka.streams.processor.internals.StreamThreadTest::standbyTask(TaskManager, TopicPartition):StandbyTask	org.apache.kafka.streams.processor.internals.TaskManager	0.9897633744855961
Move Method	org.apache.kafka.streams.processor.internals.RackAwarenessStreamsPartitionAssignorTest::setupTopology(int, int):void	org.apache.kafka.streams.processor.internals.InternalTopologyBuilder	0.5097714785214779
Move Method	org.apache.kafka.streams.state.internals.StreamThreadStateStoreProviderTest::mockThread(boolean):void	org.apache.kafka.streams.processor.internals.StreamThread	0.6803902461651978
Move Method	org.apache.kafka.streams.state.internals.FilteredCacheIterator.::cachedPair(KeyValue<Bytes,LRUCacheEntry>):KeyValue<Bytes,LRUCacheEntry>	org.apache.kafka.streams.KeyValue	0.6
Move Method	org.apache.kafka.streams.processor.internals.InternalTopologyBuilder::validateGlobalStoreArguments(String, String, String, ProcessorSupplier<?,?,Void,Void>, String, boolean):void	org.apache.kafka.streams.processor.internals.namedtopology.NamedTopology	1.0
