took 86000 seconds
Refactoring Type	Source Method	Target Class	Similarity Indice
Move Method	org.apache.kafka.streams.processor.internals.StreamsPartitionAssignor::populateTasksForMaps(Map<TopicPartition,TaskId>, Map<Subtopology,Set<TaskId>>, Set<String>, Map<TaskId,Set<TopicPartition>>, Cluster):void	org.apache.kafka.streams.processor.internals.PartitionGrouper	1.0
Move Method	org.apache.kafka.streams.KafkaStreams::handleStreamsUncaughtException(Throwable, StreamsUncaughtExceptionHandler, boolean):void	org.apache.kafka.streams.errors.StreamsUncaughtExceptionHandler	1.0
Move Method	org.apache.kafka.streams.KafkaStreams::getOrThrowException(KafkaFuture<T>, long, Supplier<String>):T	org.apache.kafka.streams.processor.internals.GlobalStreamThread	0.13408385093167702
Move Method	org.apache.kafka.streams.processor.internals.StreamsPartitionAssignor::populateActiveTaskAndPartitionsLists(List<TopicPartition>, List<TaskId>, String, ClientState, List<TaskId>, Map<TaskId,Set<TopicPartition>>, Set<TopicPartition>):Set<TaskId>	org.apache.kafka.streams.processor.internals.assignment.ClientState	0.9077250073292291
Move Method	org.apache.kafka.streams.integration.IQv2StoreIntegrationTest::setUpKeyValuePAPITopology(KeyValueBytesStoreSupplier, StreamsBuilder):void	org.apache.kafka.streams.StreamsBuilder	0.780086456164954
Move Method	org.apache.kafka.streams.state.internals.StreamThreadStateStoreProviderTest::configureClients(MockClientSupplier, String):void	org.apache.kafka.test.MockClientSupplier	0.6389296187683284
Move Method	org.apache.kafka.streams.integration.KStreamAggregationIntegrationTest::receiveMessages(Deserializer<K>, Deserializer<V>, int, TestInfo):List<KeyValueTimestamp<K,V>>	org.apache.kafka.streams.kstream.Aggregator	0.8571428571428571
Move Method	org.apache.kafka.streams.processor.internals.StreamThreadTotalBlockedTimeTest::shouldComputeTotalBlockedTime():void	org.apache.kafka.streams.processor.internals.StreamThreadTotalBlockedTime	0.12962962962962962
Move Method	org.apache.kafka.streams.processor.internals.RecordCollectorTest::getExceptionalStreamsProducerOnSend(Exception):StreamsProducer	org.apache.kafka.streams.processor.internals.StreamsProducer	0.9902306027306028
Move Method	org.apache.kafka.streams.processor.internals.HighAvailabilityStreamsPartitionAssignorTest::createMockTaskManager():void	org.apache.kafka.streams.processor.internals.TopologyMetadata	0.7040855202145524
Move Method	org.apache.kafka.streams.integration.IQv2StoreIntegrationTest::setUpWindowPAPITopology(WindowBytesStoreSupplier, StreamsBuilder):void	org.apache.kafka.streams.StreamsBuilder	0.780086456164954
Move Method	org.apache.kafka.streams.integration.VersionedKeyValueStoreIntegrationTest::afterTest():void	org.apache.kafka.streams.KafkaStreams	0.5921828524798349
Move Method	org.apache.kafka.streams.TopologyTestDriverWrapper::setCurrentNodeForProcessorContext(String):ProcessorContext<K,V>	org.apache.kafka.streams.processor.internals.StreamTask	0.7574412975801463
Move Method	org.apache.kafka.streams.processor.internals.TaskManager::handleRevocation(Collection<TopicPartition>):void	org.apache.kafka.streams.processor.internals.TaskExecutor	1.0
Move Method	org.apache.kafka.streams.state.internals.KeyValueSegmentTest::setUp():void	org.apache.kafka.streams.state.internals.metrics.RocksDBMetricsRecorder	0.39854426619132505
Move Method	org.apache.kafka.streams.integration.TaskMetadataIntegrationTest::getTaskMetadata(KafkaStreams):TaskMetadata	org.apache.kafka.streams.KafkaStreams	0.5776916551418715
Move Method	org.apache.kafka.streams.integration.PositionRestartIntegrationTest::setUpKeyValueDSLTopology(KeyValueBytesStoreSupplier, StreamsBuilder):void	org.apache.kafka.streams.StreamsBuilder	0.7540365985223048
Move Method	org.apache.kafka.streams.processor.internals.InternalTopologyBuilder::validateGlobalStoreArguments(String, String, String, ProcessorSupplier<?,?,Void,Void>, String, boolean):void	org.apache.kafka.streams.processor.internals.namedtopology.NamedTopology	1.0
Move Method	org.apache.kafka.streams.processor.internals.InternalTopologyBuilder::connectProcessorAndStateStore(String, String):void	org.apache.kafka.streams.processor.internals.namedtopology.NamedTopology	1.0
Move Method	org.apache.kafka.streams.kstream.internals.KTableImplTest::assertTopologyContainsProcessor(Topology, String):void	org.apache.kafka.streams.Topology	0.7112661966912981
Move Method	org.apache.kafka.streams.processor.internals.namedtopology.KafkaStreamsNamedTopologyWrapper::verifyTopologyStateStore(String, String):void	org.apache.kafka.streams.processor.internals.TopologyMetadata	1.0
Move Method	org.apache.kafka.streams.processor.internals.TaskManagerTest::getCheckpointFile(TaskId):File	org.apache.kafka.streams.processor.TaskId	1.0
Move Method	org.apache.kafka.streams.state.internals.RocksDBStore::addValueProvidersToMetricsRecorder():void	org.apache.kafka.streams.state.internals.RocksDBGenericOptionsToDbOptionsColumnFamilyOptionsAdapter	0.43542428504453884
Move Method	org.apache.kafka.streams.state.internals.CachingPersistentWindowStoreTest::verifyKeyValue(KeyValue<Long,byte[]>, long, String):void	org.apache.kafka.streams.KeyValue	0.6285714285714286
Move Method	org.apache.kafka.streams.processor.internals.StreamThreadTest::activeTask(TaskManager, TopicPartition):StreamTask	org.apache.kafka.streams.processor.internals.TaskManager	0.9899218546277364
Move Method	org.apache.kafka.streams.processor.internals.GlobalStateManagerImplTest::initializeConsumer(long, long, TopicPartition[]):void	org.apache.kafka.test.MockStateRestoreListener	0.6666666666666666
Move Method	org.apache.kafka.streams.state.internals.RocksDBStoreTest::createChangelogRecord(byte[], byte[], String, int, long):ConsumerRecord<byte[],byte[]>	org.apache.kafka.test.InternalMockProcessorContext	0.03700606961476526
Move Method	org.apache.kafka.streams.processor.internals.InternalTopologyBuilder::buildSinkNode(Map<String,ProcessorNode<?,?,?,?>>, Map<String,SinkNode<?,?>>, Set<String>, SinkNodeFactory<?,?>, SinkNode<?,?>):void	org.apache.kafka.streams.processor.internals.namedtopology.NamedTopology	1.0
Move Method	org.apache.kafka.streams.processor.internals.StandbyTaskTest::createConfig(File):StreamsConfig	org.apache.kafka.streams.StreamsConfig	0.4190895215895215
Move Method	org.apache.kafka.streams.kstream.internals.InternalStreamsBuilderTest::verifyVersionedSemantics(TableFilterNode<?,?>, boolean):void	org.apache.kafka.streams.kstream.internals.graph.TableFilterNode	1.0
Move Method	org.apache.kafka.streams.processor.internals.StreamsPartitionAssignor::buildApplicationState(TopologyMetadata, Map<ProcessId,ClientMetadata>, Map<Subtopology,TopicsInfo>, Cluster):ApplicationState	org.apache.kafka.streams.processor.internals.PartitionGrouper	1.0
Move Method	org.apache.kafka.streams.state.internals.RocksDBStoreTest::getStatistics(RocksDBStore):Statistics	org.apache.kafka.streams.state.internals.RocksDBStore	0.7219746602414859
Move Method	org.apache.kafka.streams.processor.internals.StreamsPartitionAssignor::prepareRepartitionTopics(Cluster):RepartitionTopics	org.apache.kafka.streams.processor.internals.PartitionGrouper	0.6659562309842625
Move Method	org.apache.kafka.streams.processor.internals.StreamThreadTest::setUp():void	org.apache.kafka.streams.processor.internals.InternalTopologyBuilder	0.4781637721688741
Move Method	org.apache.kafka.streams.processor.internals.StreamsPartitionAssignor::errorAssignment(Map<ProcessId,ClientMetadata>, int):Map<String,Assignment>	org.apache.kafka.streams.processor.assignment.ProcessId	1.0
Move Method	org.apache.kafka.streams.processor.internals.StreamsPartitionAssignor::buildStandbyTaskMap(String, Iterable<TaskId>, Iterable<TaskId>, Set<TaskId>, Map<TaskId,Set<TopicPartition>>, ClientState):Map<TaskId,Set<TopicPartition>>	org.apache.kafka.streams.processor.internals.assignment.ClientState	0.8633130081300812
Move Method	org.apache.kafka.streams.integration.RestoreIntegrationTest::waitForTransitionTo(Set<KafkaStreams.State>, KafkaStreams.State, Duration):void	org.apache.kafka.streams.KafkaStreams	0.2685832147803541
Move Method	org.apache.kafka.streams.processor.internals.TaskManager::tryCloseCleanActiveTasks(Collection<Task>, boolean, AtomicReference<RuntimeException>):Collection<Task>	org.apache.kafka.streams.processor.internals.TaskExecutor	1.0
